T_insertion	T_quick	T_merge	T_heap
1.1000000085914508e-05	6.000000212225132e-06	3.000000106112566e-06	7.999999979801942e-06
7.000000096013537e-06	2.000000222324161e-06	6.000000212225132e-06	8.999999863590347e-06
8.999999863590347e-06	6.000000212225132e-06	2.000000222324161e-06	2.900000026784255e-05
3.999999989900971e-05	3.999999989900971e-06	1.99999976757681e-06	8.999999863590347e-06
7.999999979801942e-06	9.99999883788405e-07	7.999999979801942e-06	8.999999863590347e-06
4.999999873689376e-06	1.99999976757681e-06	3.999999989900971e-06	9.000000318337698e-06
9.000000318337698e-06	7.000000096013537e-06	2.999999651365215e-06	8.999999863590347e-06
1.0000000202126103e-05	1.0000000202126103e-05	1.0000003385357559e-06	7.999999979801942e-06
1.0999999631167157e-05	1.99999976757681e-06	5.999999757477781e-06	7.999999979801942e-06
9.000000318337698e-06	9.99999883788405e-07	3.999999989900971e-06	8.999999863590347e-06
8.999999863590347e-06	2.999999651365215e-06	3.999999989900971e-06	8.999999863590347e-06
9.999999747378752e-06	2.000000222324161e-06	6.999999641266186e-06	7.999999979801942e-06
1.4999999621068127e-05	5.999999757477781e-06	6.999999641266186e-06	1.3999999737279722e-05
7.000000096013537e-06	4.999999873689376e-06	1.0000003385357559e-06	5.999999757477781e-06
1.1000000085914508e-05	3.000000106112566e-06	6.000000212225132e-06	9.999999747378752e-06
8.999999863590347e-06	2.000000222324161e-06	3.000000106112566e-06	7.000000096013537e-06
1.0000000202126103e-05	3.999999989900971e-06	7.000000096013537e-06	8.999999863590347e-06
7.999999979801942e-06	7.999999979801942e-06	7.999999979801942e-06	9.999999747378752e-06
8.000000434549293e-06	3.999999989900971e-06	9.999999747378752e-06	8.999999863590347e-06
9.999999747378752e-06	9.000000318337698e-06	7.999999979801942e-06	8.999999863590347e-06
5.000000328436727e-06	4.999999873689376e-06	4.999999873689376e-06	5.000000328436727e-06
7.000000096013537e-06	3.000000106112566e-06	5.999999757477781e-06	8.999999863590347e-06
8.999999863590347e-06	2.000000222324161e-06	1.0000003385357559e-06	6.000000212225132e-06
8.999999863590347e-06	1.99999976757681e-06	9.99999883788405e-07	6.000000212225132e-06
4.999999873689376e-06	3.999999989900971e-06	1.0000003385357559e-06	3.999999989900971e-06
6.000000212225132e-06	1.99999976757681e-06	9.99999883788405e-07	3.999999989900971e-06
8.999999863590347e-06	3.999999989900971e-06	9.99999883788405e-07	6.999999641266186e-06
1.1000000085914508e-05	7.000000096013537e-06	2.999999651365215e-06	9.000000318337698e-06
1.5000000075815478e-05	5.000000328436727e-06	7.000000096013537e-06	7.000000096013537e-06
9.999999747378752e-06	6.000000212225132e-06	7.999999979801942e-06	9.000000318337698e-06
7.999999979801942e-06	1.99999976757681e-06	1.99999976757681e-06	6.999999641266186e-06
8.999999863590347e-06	3.000000106112566e-06	1.0000003385357559e-06	7.000000096013537e-06
7.000000096013537e-06	3.000000106112566e-06	3.000000106112566e-06	7.000000096013537e-06
9.000000318337698e-06	1.99999976757681e-06	2.000000222324161e-06	4.999999873689376e-06
9.999999747378752e-06	1.0000003385357559e-06	1.99999976757681e-06	7.999999979801942e-06
7.999999979801942e-06	4.999999873689376e-06	2.000000222324161e-06	7.000000096013537e-06
7.000000096013537e-06	1.99999976757681e-06	3.999999989900971e-06	5.000000328436727e-06
9.999999747378752e-06	9.99999883788405e-07	4.999999873689376e-06	8.999999863590347e-06
1.0000000202126103e-05	9.99999883788405e-07	2.000000222324161e-06	7.000000096013537e-06
7.999999979801942e-06	5.000000328436727e-06	9.99999883788405e-07	6.000000212225132e-06
7.999999979801942e-06	1.99999976757681e-06	1.1999999969702912e-05	7.000000096013537e-06
7.000000096013537e-06	2.999999651365215e-06	3.999999989900971e-06	3.000000106112566e-06
8.999999863590347e-06	4.999999873689376e-06	1.99999976757681e-06	9.000000318337698e-06
7.999999979801942e-06	5.999999757477781e-06	9.99999883788405e-07	2.999999651365215e-06
7.000000096013537e-06	1.99999976757681e-06	3.000000106112566e-06	4.999999873689376e-06
7.999999979801942e-06	9.99999883788405e-07	3.999999989900971e-06	5.999999757477781e-06
7.999999979801942e-06	1.0000003385357559e-06	1.0000003385357559e-06	4.999999873689376e-06
7.999999979801942e-06	1.0000003385357559e-06	1.99999976757681e-06	3.999999989900971e-06
9.000000318337698e-06	3.000000106112566e-06	9.99999883788405e-07	1.2999999853491317e-05
7.000000096013537e-06	9.99999883788405e-07	1.99999976757681e-06	6.000000212225132e-06
8.999999863590347e-06	7.999999979801942e-06	1.0999999631167157e-05	9.000000318337698e-06
8.999999863590347e-06	1.99999976757681e-06	3.000000106112566e-06	5.999999757477781e-06
8.999999863590347e-06	2.999999651365215e-06	2.000000222324161e-06	4.999999873689376e-06
9.000000318337698e-06	4.999999873689376e-06	2.000000222324161e-06	6.000000212225132e-06
1.1000000085914508e-05	3.000000106112566e-06	1.99999976757681e-06	7.999999979801942e-06
1.0000000202126103e-05	3.000000106112566e-06	4.999999873689376e-06	1.99999976757681e-06
9.000000318337698e-06	2.999999651365215e-06	7.999999979801942e-06	9.999999747378752e-06
1.1000000085914508e-05	2.000000222324161e-06	3.999999989900971e-06	9.999999747378752e-06
9.999999747378752e-06	6.000000212225132e-06	3.000000106112566e-06	1.0000000202126103e-05
