T_insertion	T_quick	T_merge	T_heap
1.1999999969702912e-05	6.000000212225132e-06	3.000000106112566e-06	3.500000002532033e-05
9.999999747378752e-06	2.000000222324161e-06	3.000000106112566e-06	1.4000000192027073e-05
7.999999979801942e-06	9.99999883788405e-07	7.999999979801942e-06	1.1999999969702912e-05
8.999999863590347e-06	7.000000096013537e-06	5.999999757477781e-06	7.000000096013537e-06
1.1000000085914508e-05	2.000000222324161e-06	4.3000000005122274e-05	9.999999747378752e-06
1.1000000085914508e-05	2.000000222324161e-06	5.999999757477781e-06	9.000000318337698e-06
1.1999999969702912e-05	5.999999757477781e-06	6.000000212225132e-06	1.0000000202126103e-05
8.999999863590347e-06	2.000000222324161e-06	6.000000212225132e-06	7.000000096013537e-06
1.1000000085914508e-05	1.99999976757681e-06	3.000000106112566e-06	5.999999757477781e-06
1.1000000085914508e-05	3.999999989900971e-06	9.99999883788405e-07	7.000000096013537e-06
1.3000000308238668e-05	3.000000106112566e-06	1.0000000202126103e-05	8.999999863590347e-06
1.1000000085914508e-05	3.999999989900971e-06	1.1000000085914508e-05	8.999999863590347e-06
6.999999641266186e-06	2.000000222324161e-06	5.999999757477781e-06	1.4999999621068127e-05
9.000000318337698e-06	2.000000222324161e-06	6.000000212225132e-06	7.999999979801942e-06
5.999999757477781e-06	2.000000222324161e-06	1.99999976757681e-06	5.000000328436727e-06
6.000000212225132e-06	7.999999979801942e-06	6.999999641266186e-06	7.999999979801942e-06
9.000000318337698e-06	9.99999883788405e-07	3.000000106112566e-06	1.0000000202126103e-05
9.999999747378752e-06	4.999999873689376e-06	8.999999863590347e-06	7.999999979801942e-06
9.000000318337698e-06	6.999999641266186e-06	4.999999873689376e-06	6.000000212225132e-06
1.1999999969702912e-05	9.99999883788405e-07	9.99999883788405e-07	7.999999979801942e-06
1.0000000202126103e-05	3.999999989900971e-06	7.999999979801942e-06	1.1999999969702912e-05
1.0000000202126103e-05	9.99999883788405e-07	3.000000106112566e-06	7.999999979801942e-06
9.000000318337698e-06	6.000000212225132e-06	2.000000222324161e-06	5.999999757477781e-06
9.999999747378752e-06	5.999999757477781e-06	2.000000222324161e-06	8.999999863590347e-06
7.999999979801942e-06	4.999999873689376e-06	3.000000106112566e-06	7.999999979801942e-06
9.999999747378752e-06	3.000000106112566e-06	3.000000106112566e-06	7.000000096013537e-06
9.000000318337698e-06	4.999999873689376e-06	8.999999863590347e-06	7.999999979801942e-06
8.999999863590347e-06	7.000000096013537e-06	4.999999873689376e-06	8.999999863590347e-06
1.0000000202126103e-05	5.000000328436727e-06	2.000000222324161e-06	7.000000096013537e-06
7.999999979801942e-06	9.99999883788405e-07	1.99999976757681e-06	4.999999873689376e-06
9.000000318337698e-06	2.2000000171829015e-05	7.999999979801942e-06	7.000000096013537e-06
9.000000318337698e-06	9.99999883788405e-07	2.000000222324161e-06	9.999999747378752e-06
9.000000318337698e-06	4.999999873689376e-06	2.1999999717081664e-05	7.999999979801942e-06
2.7999999929306796e-05	6.000000212225132e-06	6.000000212225132e-06	9.999999747378752e-06
9.000000318337698e-06	2.000000222324161e-06	7.999999979801942e-06	8.999999863590347e-06
8.000000434549293e-06	8.999999863590347e-06	1.2000000424450263e-05	2.900000026784255e-05
7.999999979801942e-06	1.99999976757681e-06	7.999999979801942e-06	7.999999979801942e-06
7.000000096013537e-06	7.999999979801942e-06	3.999999989900971e-06	7.000000096013537e-06
9.999999747378752e-06	1.0000003385357559e-06	3.000000106112566e-06	7.000000096013537e-06
7.999999979801942e-06	2.999999651365215e-06	2.000000222324161e-06	7.000000096013537e-06
1.0000000202126103e-05	1.1999999969702912e-05	3.999999989900971e-06	7.999999979801942e-06
8.999999863590347e-06	8.999999863590347e-06	1.1999999969702912e-05	7.999999979801942e-06
7.999999979801942e-06	1.3999999737279722e-05	9.000000318337698e-06	7.000000096013537e-06
7.999999979801942e-06	6.999999641266186e-06	3.999999989900971e-06	8.000000434549293e-06
9.999999747378752e-06	2.000000222324161e-06	3.000000106112566e-06	7.000000096013537e-06
1.0000000202126103e-05	5.000000328436727e-06	9.99999883788405e-07	8.999999863590347e-06
7.999999979801942e-06	6.000000212225132e-06	6.999999641266186e-06	7.999999979801942e-06
1.0999999631167157e-05	8.999999863590347e-06	1.1000000085914508e-05	9.000000318337698e-06
8.999999863590347e-06	4.999999873689376e-06	7.000000096013537e-06	7.999999979801942e-06
1.1999999969702912e-05	1.0000000202126103e-05	7.999999979801942e-06	9.999999747378752e-06
3.0000000151630957e-05	1.99999976757681e-06	7.000000096013537e-06	4.199999966658652e-05
1.1999999969702912e-05	7.000000096013537e-06	6.000000212225132e-06	9.000000318337698e-06
7.000000096013537e-06	5.999999757477781e-06	1.2000000424450263e-05	1.0000000202126103e-05
9.999999747378752e-06	5.000000328436727e-06	5.999999757477781e-06	7.999999979801942e-06
8.999999863590347e-06	5.999999757477781e-06	1.0000003385357559e-06	7.000000096013537e-06
9.000000318337698e-06	3.999999989900971e-06	1.2999999853491317e-05	9.000000318337698e-06
1.2999999853491317e-05	7.999999979801942e-06	4.199999966658652e-05	9.999999747378752e-06
